"Géographie";"Niveau Géo";"Activité économique";"Taille en tranches d'effectifs";"Forme légale avec versant de la fonction publique";"Mesures de Flores";Période;Valeur
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;295
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;7794
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;57
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2934
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;22
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;21
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;14
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"Total";"Ensemble hors particuliers employeurs";"Établissements";2023;7182
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Total";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;181108
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;91
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"Total";"Ensemble hors particuliers employeurs";"Établissements";2023;535
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;9898
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;11189
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;14909
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;73
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;113
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;4642
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;26322
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;199
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"0 salarié";"Ensemble hors particuliers employeurs";"Établissements";2023;866
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;170
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;5607
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;87
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;186
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;38
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;22399
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;6
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2272
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;1222
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;431
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;54010
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;15072
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;156
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;1271
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;4937
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"Total";"Ensemble hors particuliers employeurs";"Établissements";2023;21
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"Total";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;14329
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;746
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;109
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2282
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;18
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;17
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;98
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;70
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;6
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;1715
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;7304
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;201
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;3
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;17
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;26
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;9774
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;735
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;1112
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Services principalement marchands";"Total";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;108820
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Industrie manufacturière, industries extractives et autres";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;2100
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;1351
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"0 salarié";"Ensemble hors particuliers employeurs";"Établissements";2023;131
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Agriculture, sylviculture et pêche";"Total";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;79
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;25
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Administration publique, enseignement, santé humaine et action sociale";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;165
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Construction";"Total";"Ensemble hors particuliers employeurs";"Établissements";2023;1193
"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Total";"Total";"Ensemble hors particuliers employeurs";"Établissements";2023;9944
"Ballainvilliers";"Commune";"Industrie manufacturière, industries extractives et autres";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Ballainvilliers";"Commune";"Administration publique, enseignement, santé humaine et action sociale";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Ballainvilliers";"Commune";"Agriculture, sylviculture et pêche";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;2
"Ballainvilliers";"Commune";"Construction";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Construction";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;13
"Ballainvilliers";"Commune";"Administration publique, enseignement, santé humaine et action sociale";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Services principalement marchands";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Ballainvilliers";"Commune";"Agriculture, sylviculture et pêche";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Agriculture, sylviculture et pêche";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Ballainvilliers";"Commune";"Services principalement marchands";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Agriculture, sylviculture et pêche";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Services principalement marchands";"10 à 19 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;13
"Ballainvilliers";"Commune";"Agriculture, sylviculture et pêche";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Industrie manufacturière, industries extractives et autres";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Ballainvilliers";"Commune";"Administration publique, enseignement, santé humaine et action sociale";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;1
"Ballainvilliers";"Commune";"Construction";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;25
"Ballainvilliers";"Commune";"Industrie manufacturière, industries extractives et autres";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;5
"Ballainvilliers";"Commune";"Total";"0 salarié";"Ensemble hors particuliers employeurs";"Établissements";2023;8
"Ballainvilliers";"Commune";"Total";"Total";"Ensemble hors particuliers employeurs";"Établissements";2023;151
"Ballainvilliers";"Commune";"Administration publique, enseignement, santé humaine et action sociale";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Ballainvilliers";"Commune";"Industrie manufacturière, industries extractives et autres";"100 à 199 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Agriculture, sylviculture et pêche";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Ballainvilliers";"Commune";"Industrie manufacturière, industries extractives et autres";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;598
"Ballainvilliers";"Commune";"Total";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;164
"Ballainvilliers";"Commune";"Total";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Agriculture, sylviculture et pêche";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;4
"Ballainvilliers";"Commune";"Industrie manufacturière, industries extractives et autres";"200 à 499 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;0
"Ballainvilliers";"Commune";"Agriculture, sylviculture et pêche";"20 à 49 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Industrie manufacturière, industries extractives et autres";"5 à 9 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;2
"Ballainvilliers";"Commune";"Industrie manufacturière, industries extractives et autres";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Effectifs présents la dernière semaine de décembre";2023;16
"Ballainvilliers";"Commune";"Construction";"500 salariés et plus";"Ensemble hors particuliers employeurs";"Établissements";2023;0
"Ballainvilliers";"Commune";"Services principalement marchands";"50 à 99 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;3
"Ballainvilliers";"Commune";"Services principalement marchands";"1 à 4 salariés";"Ensemble hors particuliers employeurs";"Établissements";2023;52
